Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,066062,1881,07,6.8,Y
IDCJAC0004,066062,1881,08,8.3,Y
IDCJAC0004,066062,1881,09,10.6,Y
IDCJAC0004,066062,1881,10,11.4,Y
IDCJAC0004,066062,1881,11,14.7,Y
IDCJAC0004,066062,1881,12,17.5,Y
IDCJAC0004,066062,1882,01,18.8,Y
IDCJAC0004,066062,1882,02,18.2,Y
IDCJAC0004,066062,1882,03,18.0,Y
IDCJAC0004,066062,1882,04,14.6,Y
IDCJAC0004,066062,1882,05,11.0,Y
IDCJAC0004,066062,1882,06,8.6,Y
IDCJAC0004,066062,1882,07,7.2,Y
IDCJAC0004,066062,1882,08,9.3,Y
IDCJAC0004,066062,1882,09,11.4,Y
IDCJAC0004,066062,1882,10,14.0,Y
IDCJAC0004,066062,1882,11,15.5,Y
IDCJAC0004,066062,1882,12,16.4,Y
IDCJAC0004,066062,1883,01,17.8,Y
IDCJAC0004,066062,1883,02,17.9,Y
IDCJAC0004,066062,1883,03,16.1,Y
IDCJAC0004,066062,1883,04,14.0,Y
IDCJAC0004,066062,1883,05,11.8,Y
IDCJAC0004,066062,1883,06,8.5,Y
IDCJAC0004,066062,1883,07,7.5,Y
IDCJAC0004,066062,1883,08,8.6,Y
IDCJAC0004,066062,1883,09,9.7,Y
IDCJAC0004,066062,1883,10,13.1,Y
IDCJAC0004,066062,1883,11,14.0,Y
IDCJAC0004,066062,1883,12,16.9,Y
IDCJAC0004,066062,1884,01,17.8,Y
IDCJAC0004,066062,1884,02,18.4,Y
IDCJAC0004,066062,1884,03,16.4,Y
IDCJAC0004,066062,1884,04,15.2,Y
IDCJAC0004,066062,1884,05,11.8,Y
IDCJAC0004,066062,1884,06,9.0,Y
IDCJAC0004,066062,1884,07,8.9,Y
IDCJAC0004,066062,1884,08,9.5,Y
IDCJAC0004,066062,1884,09,10.6,Y
IDCJAC0004,066062,1884,10,13.5,Y
IDCJAC0004,066062,1884,11,15.1,Y
IDCJAC0004,066062,1884,12,16.7,Y
IDCJAC0004,066062,1885,01,18.8,Y
IDCJAC0004,066062,1885,02,18.8,Y
IDCJAC0004,066062,1885,03,16.8,Y
IDCJAC0004,066062,1885,04,14.7,Y
IDCJAC0004,066062,1885,05,11.2,Y
IDCJAC0004,066062,1885,06,9.1,Y
IDCJAC0004,066062,1885,07,8.2,Y
IDCJAC0004,066062,1885,08,9.1,Y
IDCJAC0004,066062,1885,09,11.9,Y
IDCJAC0004,066062,1885,10,14.1,Y
IDCJAC0004,066062,1885,11,15.2,Y
IDCJAC0004,066062,1885,12,17.7,Y
IDCJAC0004,066062,1886,01,19.0,Y
IDCJAC0004,066062,1886,02,18.3,Y
IDCJAC0004,066062,1886,03,16.1,Y
IDCJAC0004,066062,1886,04,15.3,Y
IDCJAC0004,066062,1886,05,10.7,Y
IDCJAC0004,066062,1886,06,8.8,Y
IDCJAC0004,066062,1886,07,8.9,Y
IDCJAC0004,066062,1886,08,9.4,Y
IDCJAC0004,066062,1886,09,10.7,Y
IDCJAC0004,066062,1886,10,13.2,Y
IDCJAC0004,066062,1886,11,16.6,Y
IDCJAC0004,066062,1886,12,17.2,Y
IDCJAC0004,066062,1887,01,19.8,Y
IDCJAC0004,066062,1887,02,18.3,Y
IDCJAC0004,066062,1887,03,18.8,Y
IDCJAC0004,066062,1887,04,15.8,Y
IDCJAC0004,066062,1887,05,10.5,Y
IDCJAC0004,066062,1887,06,8.7,Y
IDCJAC0004,066062,1887,07,8.9,Y
IDCJAC0004,066062,1887,08,9.5,Y
IDCJAC0004,066062,1887,09,10.4,Y
IDCJAC0004,066062,1887,10,13.6,Y
IDCJAC0004,066062,1887,11,14.4,Y
IDCJAC0004,066062,1887,12,17.3,Y
IDCJAC0004,066062,1888,01,18.5,Y
IDCJAC0004,066062,1888,02,18.1,Y
IDCJAC0004,066062,1888,03,15.6,Y
IDCJAC0004,066062,1888,04,14.2,Y
IDCJAC0004,066062,1888,05,9.7,Y
IDCJAC0004,066062,1888,06,9.5,Y
IDCJAC0004,066062,1888,07,8.0,Y
IDCJAC0004,066062,1888,08,8.0,Y
IDCJAC0004,066062,1888,09,11.2,Y
IDCJAC0004,066062,1888,10,13.2,Y
IDCJAC0004,066062,1888,11,16.7,Y
IDCJAC0004,066062,1888,12,18.1,Y
IDCJAC0004,066062,1889,01,18.2,Y
IDCJAC0004,066062,1889,02,18.5,Y
IDCJAC0004,066062,1889,03,17.8,Y
IDCJAC0004,066062,1889,04,16.0,Y
IDCJAC0004,066062,1889,05,13.4,Y
IDCJAC0004,066062,1889,06,10.5,Y
IDCJAC0004,066062,1889,07,8.5,Y
IDCJAC0004,066062,1889,08,9.4,Y
IDCJAC0004,066062,1889,09,10.8,Y
IDCJAC0004,066062,1889,10,13.8,Y
IDCJAC0004,066062,1889,11,16.4,Y
IDCJAC0004,066062,1889,12,18.5,Y
IDCJAC0004,066062,1890,01,18.9,Y
IDCJAC0004,066062,1890,02,19.1,Y
IDCJAC0004,066062,1890,03,18.5,Y
IDCJAC0004,066062,1890,04,14.8,Y
IDCJAC0004,066062,1890,05,12.2,Y
IDCJAC0004,066062,1890,06,11.4,Y
IDCJAC0004,066062,1890,07,7.6,Y
IDCJAC0004,066062,1890,08,8.0,Y
IDCJAC0004,066062,1890,09,11.4,Y
IDCJAC0004,066062,1890,10,14.6,Y
IDCJAC0004,066062,1890,11,15.4,Y
IDCJAC0004,066062,1890,12,16.5,Y
IDCJAC0004,066062,1891,01,18.8,Y
IDCJAC0004,066062,1891,02,17.2,Y
IDCJAC0004,066062,1891,03,17.7,Y
IDCJAC0004,066062,1891,04,14.6,Y
IDCJAC0004,066062,1891,05,11.0,Y
IDCJAC0004,066062,1891,06,10.8,Y
IDCJAC0004,066062,1891,07,8.0,Y
IDCJAC0004,066062,1891,08,9.1,Y
IDCJAC0004,066062,1891,09,10.7,Y
IDCJAC0004,066062,1891,10,12.7,Y
IDCJAC0004,066062,1891,11,15.3,Y
IDCJAC0004,066062,1891,12,17.4,Y
IDCJAC0004,066062,1892,01,17.8,Y
IDCJAC0004,066062,1892,02,18.7,Y
IDCJAC0004,066062,1892,03,18.6,Y
IDCJAC0004,066062,1892,04,14.0,Y
IDCJAC0004,066062,1892,05,11.5,Y
IDCJAC0004,066062,1892,06,8.3,Y
IDCJAC0004,066062,1892,07,8.0,Y
IDCJAC0004,066062,1892,08,8.9,Y
IDCJAC0004,066062,1892,09,10.8,Y
IDCJAC0004,066062,1892,10,13.2,Y
IDCJAC0004,066062,1892,11,15.6,Y
IDCJAC0004,066062,1892,12,16.3,Y
IDCJAC0004,066062,1893,01,17.4,Y
IDCJAC0004,066062,1893,02,18.2,Y
IDCJAC0004,066062,1893,03,16.6,Y
IDCJAC0004,066062,1893,04,13.3,Y
IDCJAC0004,066062,1893,05,11.1,Y
IDCJAC0004,066062,1893,06,9.3,Y
IDCJAC0004,066062,1893,07,7.9,Y
IDCJAC0004,066062,1893,08,9.2,Y
IDCJAC0004,066062,1893,09,10.8,Y
IDCJAC0004,066062,1893,10,14.4,Y
IDCJAC0004,066062,1893,11,15.9,Y
IDCJAC0004,066062,1893,12,17.1,Y
IDCJAC0004,066062,1894,01,19.1,Y
IDCJAC0004,066062,1894,02,18.5,Y
IDCJAC0004,066062,1894,03,17.9,Y
IDCJAC0004,066062,1894,04,15.2,Y
IDCJAC0004,066062,1894,05,10.2,Y
IDCJAC0004,066062,1894,06,9.0,Y
IDCJAC0004,066062,1894,07,7.5,Y
IDCJAC0004,066062,1894,08,8.6,Y
IDCJAC0004,066062,1894,09,9.9,Y
IDCJAC0004,066062,1894,10,14.0,Y
IDCJAC0004,066062,1894,11,17.1,Y
IDCJAC0004,066062,1894,12,18.4,Y
IDCJAC0004,066062,1895,01,18.2,Y
IDCJAC0004,066062,1895,02,18.3,Y
IDCJAC0004,066062,1895,03,17.4,Y
IDCJAC0004,066062,1895,04,14.5,Y
IDCJAC0004,066062,1895,05,10.8,Y
IDCJAC0004,066062,1895,06,8.7,Y
IDCJAC0004,066062,1895,07,5.5,Y
IDCJAC0004,066062,1895,08,9.7,Y
IDCJAC0004,066062,1895,09,11.0,Y
IDCJAC0004,066062,1895,10,14.2,Y
IDCJAC0004,066062,1895,11,15.6,Y
IDCJAC0004,066062,1895,12,18.4,Y
IDCJAC0004,066062,1896,01,20.1,Y
IDCJAC0004,066062,1896,02,19.3,Y
IDCJAC0004,066062,1896,03,17.4,Y
IDCJAC0004,066062,1896,04,13.9,Y
IDCJAC0004,066062,1896,05,11.2,Y
IDCJAC0004,066062,1896,06,9.1,Y
IDCJAC0004,066062,1896,07,6.6,Y
IDCJAC0004,066062,1896,08,7.6,Y
IDCJAC0004,066062,1896,09,10.6,Y
IDCJAC0004,066062,1896,10,14.7,Y
IDCJAC0004,066062,1896,11,15.1,Y
IDCJAC0004,066062,1896,12,18.0,Y
IDCJAC0004,066062,1897,01,18.0,Y
IDCJAC0004,066062,1897,02,18.3,Y
IDCJAC0004,066062,1897,03,16.2,Y
IDCJAC0004,066062,1897,04,15.4,Y
IDCJAC0004,066062,1897,05,10.8,Y
IDCJAC0004,066062,1897,06,10.4,Y
IDCJAC0004,066062,1897,07,8.5,Y
