Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,094029,1912,09,14.6,Y
IDCJAC0002,094029,1912,10,16.0,Y
IDCJAC0002,094029,1912,11,17.7,Y
IDCJAC0002,094029,1912,12,20.9,Y
IDCJAC0002,094029,1913,01,21.3,Y
IDCJAC0002,094029,1913,02,21.8,Y
IDCJAC0002,094029,1913,03,18.0,Y
IDCJAC0002,094029,1913,04,18.1,Y
IDCJAC0002,094029,1913,05,13.1,Y
IDCJAC0002,094029,1913,06,11.1,Y
IDCJAC0002,094029,1913,07,12.3,Y
IDCJAC0002,094029,1913,08,12.4,Y
IDCJAC0002,094029,1913,09,14.6,Y
IDCJAC0002,094029,1913,10,18.2,Y
IDCJAC0002,094029,1913,11,16.2,Y
IDCJAC0002,094029,1913,12,20.7,Y
IDCJAC0002,094029,1914,01,21.4,Y
IDCJAC0002,094029,1914,02,22.2,Y
IDCJAC0002,094029,1914,03,20.6,Y
IDCJAC0002,094029,1914,04,16.3,Y
IDCJAC0002,094029,1914,05,14.8,Y
IDCJAC0002,094029,1914,06,12.7,Y
IDCJAC0002,094029,1914,07,10.7,Y
IDCJAC0002,094029,1914,08,14.1,Y
IDCJAC0002,094029,1914,09,15.5,Y
IDCJAC0002,094029,1914,10,19.3,Y
IDCJAC0002,094029,1914,11,18.8,Y
IDCJAC0002,094029,1914,12,18.1,Y
IDCJAC0002,094029,1915,01,21.2,Y
IDCJAC0002,094029,1915,02,21.8,Y
IDCJAC0002,094029,1915,03,19.0,Y
IDCJAC0002,094029,1915,04,17.2,Y
IDCJAC0002,094029,1915,05,14.0,Y
IDCJAC0002,094029,1915,06,11.8,Y
IDCJAC0002,094029,1915,07,11.5,Y
IDCJAC0002,094029,1915,08,12.9,Y
IDCJAC0002,094029,1915,09,15.3,Y
IDCJAC0002,094029,1915,10,16.3,Y
IDCJAC0002,094029,1915,11,16.7,Y
IDCJAC0002,094029,1915,12,20.3,Y
IDCJAC0002,094029,1916,01,21.2,Y
IDCJAC0002,094029,1916,02,20.6,Y
IDCJAC0002,094029,1916,03,19.8,Y
IDCJAC0002,094029,1916,04,16.4,Y
IDCJAC0002,094029,1916,05,13.9,Y
IDCJAC0002,094029,1916,06,11.4,Y
IDCJAC0002,094029,1916,07,11.3,Y
IDCJAC0002,094029,1916,08,12.6,Y
IDCJAC0002,094029,1916,09,14.2,Y
IDCJAC0002,094029,1916,10,16.3,Y
IDCJAC0002,094029,1916,11,16.3,Y
IDCJAC0002,094029,1916,12,19.6,Y
IDCJAC0002,094029,1917,01,20.9,Y
IDCJAC0002,094029,1917,02,19.9,Y
IDCJAC0002,094029,1917,03,18.5,Y
IDCJAC0002,094029,1917,04,15.9,Y
IDCJAC0002,094029,1917,05,12.9,Y
IDCJAC0002,094029,1917,06,11.6,Y
IDCJAC0002,094029,1917,07,11.5,Y
IDCJAC0002,094029,1917,08,13.8,Y
IDCJAC0002,094029,1917,09,14.8,Y
IDCJAC0002,094029,1917,10,16.5,Y
IDCJAC0002,094029,1917,11,19.1,Y
IDCJAC0002,094029,1917,12,21.2,Y
IDCJAC0002,094029,1918,01,21.2,Y
IDCJAC0002,094029,1918,02,22.2,Y
IDCJAC0002,094029,1918,03,20.3,Y
IDCJAC0002,094029,1918,04,15.5,Y
IDCJAC0002,094029,1918,05,14.9,Y
IDCJAC0002,094029,1918,06,11.9,Y
IDCJAC0002,094029,1918,07,11.5,Y
IDCJAC0002,094029,1918,08,13.6,Y
IDCJAC0002,094029,1918,09,15.5,Y
IDCJAC0002,094029,1918,10,14.9,Y
IDCJAC0002,094029,1918,11,17.8,Y
IDCJAC0002,094029,1918,12,20.6,Y
IDCJAC0002,094029,1919,01,20.8,Y
IDCJAC0002,094029,1919,02,22.2,Y
IDCJAC0002,094029,1919,03,19.5,Y
IDCJAC0002,094029,1919,04,18.7,Y
IDCJAC0002,094029,1919,05,14.3,Y
IDCJAC0002,094029,1919,06,12.2,Y
IDCJAC0002,094029,1919,07,11.3,Y
IDCJAC0002,094029,1919,08,12.8,Y
IDCJAC0002,094029,1919,09,15.7,Y
IDCJAC0002,094029,1919,10,18.1,Y
IDCJAC0002,094029,1919,11,20.4,Y
IDCJAC0002,094029,1919,12,22.6,Y
IDCJAC0002,094029,1920,01,20.2,Y
IDCJAC0002,094029,1920,02,22.3,Y
IDCJAC0002,094029,1920,03,20.3,Y
IDCJAC0002,094029,1920,04,17.2,Y
IDCJAC0002,094029,1920,05,14.3,Y
IDCJAC0002,094029,1920,06,11.6,Y
IDCJAC0002,094029,1920,07,12.5,Y
IDCJAC0002,094029,1920,08,13.4,Y
IDCJAC0002,094029,1920,09,15.5,Y
IDCJAC0002,094029,1920,10,18.7,Y
IDCJAC0002,094029,1920,11,18.3,Y
IDCJAC0002,094029,1920,12,21.2,Y
IDCJAC0002,094029,1921,01,22.4,Y
IDCJAC0002,094029,1921,02,21.9,Y
IDCJAC0002,094029,1921,03,20.6,Y
IDCJAC0002,094029,1921,04,17.9,Y
IDCJAC0002,094029,1921,05,14.7,Y
IDCJAC0002,094029,1921,06,13.3,Y
IDCJAC0002,094029,1921,07,12.4,Y
IDCJAC0002,094029,1921,08,12.5,Y
IDCJAC0002,094029,1921,09,17.0,Y
IDCJAC0002,094029,1921,10,16.1,Y
IDCJAC0002,094029,1921,11,21.5,Y
IDCJAC0002,094029,1921,12,18.6,Y
IDCJAC0002,094029,1922,01,21.2,Y
IDCJAC0002,094029,1922,02,21.9,Y
IDCJAC0002,094029,1922,03,19.5,Y
IDCJAC0002,094029,1922,04,17.7,Y
IDCJAC0002,094029,1922,05,15.1,Y
IDCJAC0002,094029,1922,06,11.8,Y
IDCJAC0002,094029,1922,07,12.0,Y
IDCJAC0002,094029,1922,08,13.0,Y
IDCJAC0002,094029,1922,09,14.9,Y
IDCJAC0002,094029,1922,10,17.9,Y
IDCJAC0002,094029,1922,11,18.7,Y
IDCJAC0002,094029,1922,12,20.2,Y
IDCJAC0002,094029,1923,01,20.1,Y
IDCJAC0002,094029,1923,02,21.1,Y
IDCJAC0002,094029,1923,03,18.9,Y
IDCJAC0002,094029,1923,04,17.4,Y
IDCJAC0002,094029,1923,05,14.2,Y
IDCJAC0002,094029,1923,06,11.6,Y
IDCJAC0002,094029,1923,07,12.2,Y
IDCJAC0002,094029,1923,08,13.7,Y
IDCJAC0002,094029,1923,09,14.6,Y
IDCJAC0002,094029,1923,10,16.3,Y
IDCJAC0002,094029,1923,11,17.2,Y
IDCJAC0002,094029,1923,12,20.6,Y
IDCJAC0002,094029,1924,01,19.1,Y
IDCJAC0002,094029,1924,02,19.0,Y
IDCJAC0002,094029,1924,03,19.8,Y
IDCJAC0002,094029,1924,04,16.4,Y
IDCJAC0002,094029,1924,05,14.4,Y
IDCJAC0002,094029,1924,06,11.6,Y
IDCJAC0002,094029,1924,07,11.4,Y
IDCJAC0002,094029,1924,08,13.5,Y
IDCJAC0002,094029,1924,09,14.7,Y
IDCJAC0002,094029,1924,10,16.7,Y
IDCJAC0002,094029,1924,11,18.1,Y
IDCJAC0002,094029,1924,12,19.0,Y
IDCJAC0002,094029,1925,01,20.6,Y
IDCJAC0002,094029,1925,02,20.2,Y
IDCJAC0002,094029,1925,03,19.4,Y
IDCJAC0002,094029,1925,04,16.6,Y
IDCJAC0002,094029,1925,05,13.5,Y
IDCJAC0002,094029,1925,06,11.4,Y
IDCJAC0002,094029,1925,07,10.7,Y
IDCJAC0002,094029,1925,08,12.2,Y
IDCJAC0002,094029,1925,09,14.7,Y
IDCJAC0002,094029,1925,10,17.5,Y
IDCJAC0002,094029,1925,11,18.3,Y
IDCJAC0002,094029,1925,12,20.3,Y
IDCJAC0002,094029,1926,01,20.3,Y
IDCJAC0002,094029,1926,02,23.0,Y
IDCJAC0002,094029,1926,03,20.9,Y
IDCJAC0002,094029,1926,04,17.7,Y
IDCJAC0002,094029,1926,05,13.0,Y
IDCJAC0002,094029,1926,06,13.2,Y
IDCJAC0002,094029,1926,07,12.4,Y
IDCJAC0002,094029,1926,08,13.0,Y
IDCJAC0002,094029,1926,09,15.2,Y
IDCJAC0002,094029,1926,10,17.2,Y
IDCJAC0002,094029,1926,11,19.1,Y
IDCJAC0002,094029,1926,12,20.4,Y
IDCJAC0002,094029,1927,01,21.7,Y
IDCJAC0002,094029,1927,02,21.6,Y
IDCJAC0002,094029,1927,03,17.7,Y
IDCJAC0002,094029,1927,04,15.9,Y
IDCJAC0002,094029,1927,05,13.8,Y
IDCJAC0002,094029,1927,06,10.3,Y
IDCJAC0002,094029,1927,07,10.9,Y
IDCJAC0002,094029,1927,08,12.4,Y
IDCJAC0002,094029,1927,09,15.1,Y
IDCJAC0002,094029,1927,10,17.6,Y
IDCJAC0002,094029,1927,11,19.4,Y
IDCJAC0002,094029,1927,12,21.5,Y
IDCJAC0002,094029,1928,01,22.9,Y
IDCJAC0002,094029,1928,02,21.2,Y
IDCJAC0002,094029,1928,03,22.0,Y
