Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,023034,1968,06,7.5,Y
IDCJAC0004,023034,1968,07,5.4,Y
IDCJAC0004,023034,1968,08,6.9,Y
IDCJAC0004,023034,1968,09,7.3,Y
IDCJAC0004,023034,1968,10,10.3,Y
IDCJAC0004,023034,1968,11,11.4,Y
IDCJAC0004,023034,1968,12,13.0,Y
IDCJAC0004,023034,1969,01,16.2,Y
IDCJAC0004,023034,1969,02,15.7,Y
IDCJAC0004,023034,1969,03,13.8,Y
IDCJAC0004,023034,1969,04,11.6,Y
IDCJAC0004,023034,1969,05,7.6,Y
IDCJAC0004,023034,1969,06,7.3,Y
IDCJAC0004,023034,1969,07,7.9,Y
IDCJAC0004,023034,1969,08,6.7,Y
IDCJAC0004,023034,1969,09,6.8,Y
IDCJAC0004,023034,1969,10,9.7,Y
IDCJAC0004,023034,1969,11,11.3,Y
IDCJAC0004,023034,1969,12,12.1,Y
IDCJAC0004,023034,1970,01,13.5,Y
IDCJAC0004,023034,1970,02,15.0,Y
IDCJAC0004,023034,1970,03,12.3,Y
IDCJAC0004,023034,1970,04,12.8,Y
IDCJAC0004,023034,1970,05,9.0,Y
IDCJAC0004,023034,1970,06,9.0,Y
IDCJAC0004,023034,1970,07,6.9,Y
IDCJAC0004,023034,1970,08,6.4,Y
IDCJAC0004,023034,1970,09,8.3,Y
IDCJAC0004,023034,1970,10,9.3,Y
IDCJAC0004,023034,1970,11,12.1,Y
IDCJAC0004,023034,1970,12,13.8,Y
IDCJAC0004,023034,1971,01,14.6,Y
IDCJAC0004,023034,1971,02,16.7,Y
IDCJAC0004,023034,1971,03,17.1,Y
IDCJAC0004,023034,1971,04,13.8,Y
IDCJAC0004,023034,1971,05,9.8,Y
IDCJAC0004,023034,1971,06,8.6,Y
IDCJAC0004,023034,1971,07,6.4,Y
IDCJAC0004,023034,1971,08,7.2,Y
IDCJAC0004,023034,1971,09,7.8,Y
IDCJAC0004,023034,1971,10,9.6,Y
IDCJAC0004,023034,1971,11,11.4,Y
IDCJAC0004,023034,1971,12,13.3,Y
IDCJAC0004,023034,1972,01,14.5,Y
IDCJAC0004,023034,1972,02,16.3,Y
IDCJAC0004,023034,1972,03,12.1,Y
IDCJAC0004,023034,1972,04,11.4,Y
IDCJAC0004,023034,1972,05,7.9,Y
IDCJAC0004,023034,1972,06,4.1,Y
IDCJAC0004,023034,1972,07,8.2,Y
IDCJAC0004,023034,1972,08,8.0,Y
IDCJAC0004,023034,1972,09,8.5,Y
IDCJAC0004,023034,1972,10,9.9,Y
IDCJAC0004,023034,1972,11,11.7,Y
IDCJAC0004,023034,1972,12,14.1,Y
IDCJAC0004,023034,1973,01,18.1,Y
IDCJAC0004,023034,1973,02,16.8,Y
IDCJAC0004,023034,1973,03,14.2,Y
IDCJAC0004,023034,1973,04,13.3,Y
IDCJAC0004,023034,1973,05,10.0,Y
IDCJAC0004,023034,1973,06,6.5,Y
IDCJAC0004,023034,1973,07,7.1,Y
IDCJAC0004,023034,1973,08,8.1,Y
IDCJAC0004,023034,1973,09,10.0,Y
IDCJAC0004,023034,1973,10,11.4,Y
IDCJAC0004,023034,1973,11,11.5,Y
IDCJAC0004,023034,1973,12,15.8,Y
IDCJAC0004,023034,1974,01,19.0,Y
IDCJAC0004,023034,1974,02,15.4,Y
IDCJAC0004,023034,1974,03,16.4,Y
IDCJAC0004,023034,1974,04,12.8,Y
IDCJAC0004,023034,1974,05,8.8,Y
IDCJAC0004,023034,1974,06,7.3,Y
IDCJAC0004,023034,1974,07,8.2,Y
IDCJAC0004,023034,1974,08,8.1,Y
IDCJAC0004,023034,1974,09,8.2,Y
IDCJAC0004,023034,1974,10,11.3,Y
IDCJAC0004,023034,1974,11,11.2,Y
IDCJAC0004,023034,1974,12,13.7,Y
IDCJAC0004,023034,1975,01,13.1,Y
IDCJAC0004,023034,1975,02,16.7,Y
IDCJAC0004,023034,1975,03,13.4,Y
IDCJAC0004,023034,1975,04,11.3,Y
IDCJAC0004,023034,1975,05,11.6,Y
IDCJAC0004,023034,1975,06,6.0,Y
IDCJAC0004,023034,1975,07,8.5,Y
IDCJAC0004,023034,1975,08,7.8,Y
IDCJAC0004,023034,1975,09,9.6,Y
IDCJAC0004,023034,1975,10,11.6,Y
IDCJAC0004,023034,1975,11,13.8,Y
IDCJAC0004,023034,1975,12,15.8,Y
IDCJAC0004,023034,1976,01,14.9,Y
IDCJAC0004,023034,1976,02,17.5,Y
IDCJAC0004,023034,1976,03,13.0,Y
IDCJAC0004,023034,1976,04,11.6,Y
IDCJAC0004,023034,1976,05,8.2,Y
IDCJAC0004,023034,1976,06,7.6,Y
IDCJAC0004,023034,1976,07,5.6,Y
IDCJAC0004,023034,1976,08,7.6,Y
IDCJAC0004,023034,1976,09,8.4,Y
IDCJAC0004,023034,1976,10,9.8,Y
IDCJAC0004,023034,1976,11,11.7,Y
IDCJAC0004,023034,1976,12,14.8,Y
IDCJAC0004,023034,1977,01,15.6,Y
IDCJAC0004,023034,1977,02,15.9,Y
IDCJAC0004,023034,1977,03,13.9,Y
IDCJAC0004,023034,1977,04,9.9,Y
IDCJAC0004,023034,1977,05,9.8,Y
IDCJAC0004,023034,1977,06,7.7,Y
IDCJAC0004,023034,1977,07,5.8,Y
IDCJAC0004,023034,1977,08,8.5,Y
IDCJAC0004,023034,1977,09,7.0,Y
IDCJAC0004,023034,1977,10,11.2,Y
IDCJAC0004,023034,1977,11,12.3,Y
IDCJAC0004,023034,1977,12,15.0,Y
IDCJAC0004,023034,1978,01,14.5,Y
IDCJAC0004,023034,1978,02,14.3,Y
IDCJAC0004,023034,1978,03,14.8,Y
IDCJAC0004,023034,1978,04,10.7,Y
IDCJAC0004,023034,1978,05,9.5,Y
IDCJAC0004,023034,1978,06,7.2,Y
IDCJAC0004,023034,1978,07,7.4,Y
IDCJAC0004,023034,1978,08,6.1,Y
IDCJAC0004,023034,1978,09,8.9,Y
IDCJAC0004,023034,1978,10,10.2,Y
IDCJAC0004,023034,1978,11,12.2,Y
IDCJAC0004,023034,1978,12,14.2,Y
IDCJAC0004,023034,1979,01,18.0,Y
IDCJAC0004,023034,1979,02,16.8,Y
IDCJAC0004,023034,1979,03,13.8,Y
IDCJAC0004,023034,1979,04,11.1,Y
IDCJAC0004,023034,1979,05,8.7,Y
IDCJAC0004,023034,1979,06,8.3,Y
IDCJAC0004,023034,1979,07,7.1,Y
IDCJAC0004,023034,1979,08,7.8,Y
IDCJAC0004,023034,1979,09,10.2,Y
IDCJAC0004,023034,1979,10,9.6,Y
IDCJAC0004,023034,1979,11,12.7,Y
IDCJAC0004,023034,1979,12,14.9,Y
